RollNumber,Name,English,Math,Science,S.S.T
724,Ceil Grayston,28,93,98,24
725,Pavia Reford,31,78,5,9
726,Charmian Maylard,90,51,13,88
727,Olly Ruddle,70,54,23,64
728,Shepperd Attenbrough,56,5,16,91
729,Jephthah Cowdery,12,96,40,86
730,Kanya Didball,50,75,54,1
731,Bernetta Danet,76,100,7,4
732,Raimund McMeeking,20,46,100,75
733,Aeriell Dumsday,28,15,16,73
734,Karon Biddles,42,27,29,15
735,Alfonso MacCallister,47,37,26,91
736,Grier Piesing,21,36,92,41
737,Willi des Remedios,23,79,72,53
738,Andriana Skeermor,25,88,99,58
739,Myrah Giorgielli,51,27,80,44
740,Jenine Rough,27,83,36,21
741,Mahalia Cleaver,48,55,39,67
742,Kary Shrive,33,36,30,19
743,Fredia McFaul,88,33,75,46
744,Hamlin Hupe,13,48,53,56
745,Chick Belhome,73,69,0,98
746,Cordy Paule,44,34,63,83
747,Nichole Grishanov,90,40,36,43
748,Cesar Growy,74,74,50,42
749,Jessika Phlippi,3,10,69,59
750,Ferdinand Starmont,39,55,22,58
751,Jarad Cullivan,47,0,54,73
752,Lilith Skillicorn,46,72,87,43
753,Marita Chong,58,67,99,57
754,Rhiamon Cordova,81,57,93,67
755,Kirby Aldin,6,79,55,38
756,Prent Haizelden,96,61,27,8
757,Barbey Mecchi,32,57,37,19
758,Jolyn McGooch,9,57,71,77
759,Bron Ridder,45,68,3,20
760,Peria Hilhouse,80,99,1,77
761,Aguistin Chichgar,52,34,81,100
762,Far Hindhaugh,20,96,87,2
763,Kirby Crouse,59,35,63,16
764,Deena Gouda,12,14,5,46
765,Gabriella Arnley,84,56,86,65
766,Laryssa Sparshett,14,49,19,29
767,Oren Weiner,79,83,55,31
768,Annmaria Bruyns,54,71,28,89
769,Osborn Lampaert,35,94,52,89
770,Darren Mordon,41,97,3,58
771,Cathlene Harbison,68,69,64,38
772,Daune Vedenyapin,15,40,40,93
773,Janice Mathes,21,14,48,50
774,Giovanni Caiger,51,71,16,2
775,Melany Seeger,52,35,40,71
776,Giustino Buckell,37,21,47,77
777,Jeffry Hunnable,27,30,71,29
778,Mara Crowest,52,30,26,3
779,Rica Ipplett,32,62,31,95
780,Jaynell Itzchaky,31,49,75,85
781,Everett Linneman,25,75,1,47
782,Wilhelmina Gerhardt,45,94,60,18
783,Gertruda Bradlaugh,16,38,62,6
784,Vladamir Shakesby,33,24,49,71
785,Ellwood Lagde,2,90,63,41
786,Stafani Chance,59,99,63,90
787,Findley Waud,63,99,5,59
788,Fritz Riccio,82,43,49,18
789,Myra Radish,53,100,60,6
790,Bernadine Sutcliff,46,4,13,19
791,Sabra Haime,30,27,89,29
792,Etty Franca,41,47,1,74
793,Gray Mollnar,97,62,4,21
794,Bobinette Heinschke,60,83,25,52
795,Michaeline Ricardon,4,2,59,94
796,Guntar Dunk,93,88,92,81
797,Emery Lumsdall,11,94,7,85
798,Robin Swinn,48,42,52,91
799,Wallie Orrow,27,34,55,31
800,Salomo Gissing,76,3,54,66
801,Jacques Le Provost,64,67,87,90
802,Garvin Maestro,94,97,0,49
803,Archy Rubrow,34,1,47,83
804,Basil Allsobrook,75,23,3,25
805,Blinnie Gerritsma,78,29,62,83
806,Kyla Skedgell,87,71,22,72
807,Joelle Normandale,32,55,80,67
808,Forrester Clitheroe,5,34,6,51
809,Davina Tomek,94,39,72,96
810,Wake Gresly,37,53,90,36
811,Tara Hair,38,17,32,90
812,Holly-anne Baguley,24,7,45,97
813,Tammy Canelas,97,28,89,76
814,Joellyn Mille,68,44,26,93
815,Donavon Pagitt,3,61,69,42
816,Nomi Le Grys,23,69,88,45
817,Cirilo Birchett,37,58,17,11
818,Elinor Glassford,92,77,41,97
819,Vanda MacShirrie,70,14,2,51
820,Katerina Casillas,31,52,34,27
821,Madeline Gaylor,25,76,65,15
822,Tanny Benda,88,78,27,80
823,Eustace Schiesterl,17,52,56,29
824,Cordy Fiddler,90,77,34,75
825,Dulsea Inglesant,77,15,14,46
826,Walton Sandry,97,63,64,18
827,Milena Littlepage,100,56,54,93
828,Constantina Lucio,17,73,66,68
829,Allayne Larkin,85,46,2,41
830,Hobie Dauby,32,8,31,35
831,Shelton Ord,2,82,3,42
832,Galen Pellamont,65,80,84,54
833,Ally Bottrill,40,75,0,13
834,Millard Scolding,32,75,13,44
835,Augustina Blinde,3,35,84,29
836,Dalton MacConnechie,37,54,93,69
837,Alane Fairlem,29,28,42,83
838,Vivian Stichel,60,82,38,40
839,Maureene Riddler,75,94,37,88
840,Kimberley Hurl,25,80,30,13
841,Cross Paulton,61,93,99,80
842,Blondelle Borton,60,56,40,16
843,Zeb Birnie,99,62,37,66
844,Hedwiga Klementz,22,65,95,62
845,Kirsti Palphramand,22,69,5,59
846,Thorin Wulfinger,39,57,29,19
847,Rab Peppard,0,100,25,11
848,Marie-jeanne Heatlie,84,73,4,41
849,Birk Merriott,29,36,29,58
850,Martelle Kenworthey,65,82,57,38
851,Gil Lerer,61,48,27,50
852,Jeralee Pothergill,35,43,34,33
853,Mei Aronson,89,0,82,10
854,Walden Danilovic,26,83,63,81
855,Cordelia Northway,59,1,28,15
856,Bram Castagnier,27,64,37,20
857,Louie Streets,86,58,53,16
858,Simeon Corrao,37,80,18,86
859,Therine Matresse,29,29,53,93
860,Kaela Hincks,36,44,21,57
861,Harwilll Knell,35,91,54,33
862,Carlen Portinari,97,42,2,99
863,Mallissa Dilks,75,16,94,57
864,Adele Fuente,37,78,94,67
865,Daniella Askew,11,44,3,24
866,Emlyn Bartlomiej,93,57,63,83
867,Adham Corringham,39,99,94,58
868,Gilli Maccaddie,29,18,3,29
869,Melvin Dyson,35,2,31,36
870,Sapphira Kendal,5,5,10,2
871,Kendell Findlay,97,59,31,67
872,Aurel Creeghan,86,57,32,63
873,Abel Ainslie,92,26,30,80
874,Erie Nucci,50,45,43,88
875,Aurlie Chew,91,41,78,19
876,Adora Adamson,30,99,37,28
877,Donny Bryning,29,64,69,85
878,Tessie O'Heaney,53,94,62,100
879,Carmelina Andrioni,59,95,70,30
880,Paco Francioli,91,49,72,76
881,Constantine Caban,1,26,98,77
882,Gaylene Zanneli,91,86,90,81
883,Maryann Marran,39,75,45,95
884,Ann-marie Burkert,83,44,5,74
885,Mignon Filipic,73,93,7,96
886,Luella Baswall,83,1,93,77
887,Agathe O'Mannion,15,56,66,72
888,Ulric Rubinowitz,62,64,81,18
889,Rosalyn Hiseman,27,90,69,38
890,Arielle Hovey,31,14,84,59
891,Dar Lindeberg,92,98,37,73
892,Flem Edgar,50,17,71,10
893,Mack Pellamont,42,33,68,54
894,Roshelle Krause,89,1,75,82
895,Hersh Hogbin,34,42,60,87
896,Brigid Robarts,56,94,47,29
897,Gusty Devereux,44,60,30,49
898,Winfield Gerardi,63,1,55,14
899,Ruggiero Primo,96,26,36,84
900,West Bointon,60,59,61,25
901,Shurwood Shelvey,95,27,30,5
902,Danny Cuberley,29,89,35,97
903,Paula Jasper,70,27,41,3
904,Eleni Borzoni,70,63,23,89
905,Frieda Fernandes,38,46,32,94
906,Maitilde Millwall,25,28,7,79
907,Lisette Guiton,38,81,14,40
908,Modestia Caruth,22,62,88,55
909,Julienne Jerams,58,92,25,38
910,Quint Gunderson,54,5,35,33
911,Uriel McHaffy,30,35,56,14
912,Hildy Cowie,64,27,1,81
913,Eben Szymanowski,26,98,22,43
914,Obed Letherbury,59,66,76,53
915,Cissy Bellis,37,94,19,13
916,Juline Cheyney,43,11,59,75
917,Mahmoud Eaglestone,100,37,21,33
918,Storm Morad,25,100,32,24
919,Sibylle Pittock,40,0,43,23
920,Lanie MacAulay,99,44,34,85
921,Lynda Keavy,77,98,82,3
922,Giana Bagguley,3,27,2,54
923,Smith Hanson,40,48,92,26
924,Nerte Bramont,99,10,25,70
925,Jorrie Eam,100,9,83,76
926,Cyndia Girtin,28,38,27,6
927,Gavrielle Hiom,71,63,60,60
928,Tabbatha Bryer,61,91,17,82
929,Courtenay Leaton,67,84,81,13
930,Maryanne Meighan,19,76,83,21
931,Cynthia Huitt,76,80,31,97
932,Hillyer Djordjevic,73,23,6,57
933,Farah Martignon,30,20,32,18
934,Glennie Loughlan,80,65,20,30
935,Nessi Muck,66,10,21,47
936,Reid Durbin,42,2,67,61
937,Raimund Humphries,45,80,38,92
938,Caz Boost,80,91,96,99
939,Ives Timmons,64,47,81,2
940,Dniren Bontein,70,93,63,58
941,Bernhard Dockery,91,89,40,17
942,Kimberly Zouch,31,84,27,61
943,Natasha Alcorn,62,13,78,20
944,Netty Shorte,5,100,31,47
945,Adriana Dawbury,78,65,58,78
946,Arne Sorrie,100,65,77,47
947,Abey Cowoppe,92,33,27,92
948,Malinda MacDonell,38,25,9,26
949,Corilla Wilford,3,42,84,90
950,Bo Hesse,25,14,8,17
951,Cooper Noller,22,1,42,90
952,Donella Cheley,42,48,34,56
953,Jaime Densun,68,56,88,54
954,Ursa Kerton,88,12,48,2
955,Stevie McNeely,21,25,91,38
956,Laverna Whitewood,87,28,42,86
957,Roxanne Stonard,87,68,96,56
958,Red Judd,28,5,35,100
959,Ad Dearth,82,31,52,2
960,Florance Giacomo,30,64,11,79
961,Abe Pollard,46,82,23,92
962,Rutger Casewell,11,77,12,73
963,Tedmund Sigg,18,48,87,21
964,Erhart Strodder,96,1,80,75
965,Percival Boylan,54,19,1,82
966,Perrine Drexel,76,63,14,83
967,Meghann Kleisle,56,81,23,95
968,Lishe Nolton,64,71,25,23
969,Douglass Whitsey,71,31,36,59
970,Felipe McGifford,54,88,37,46
971,Keefer Hatterslay,76,11,67,92
972,Wain Cockrill,11,15,19,56
973,Eberhard Ramble,58,19,30,58
974,Cale Roller,96,28,85,49
975,Aloysius McGoldrick,86,91,39,23
976,Fayina Glasscoe,15,89,68,43
977,Gabrielle Stook,13,36,83,96
978,Roslyn Gorvette,0,57,74,11
979,Andrea Barcke,83,6,79,47
980,Silva Buglass,55,15,26,37
981,Edmon Gwilliam,11,93,80,25
982,Esme Koppeck,12,54,83,85
983,Lucretia Pipe,63,52,66,66
984,Felicity Sevitt,65,14,55,8
985,Rickert Jindracek,69,36,70,45
986,Jobie Berr,7,15,43,1
987,Meryl Bocock,91,39,69,43
988,Niki Muehler,93,20,38,80
989,Elfie Norledge,30,46,98,76
990,Farlie Tunnadine,48,79,2,2
991,Dorothea Oxenbury,70,50,66,86
992,Jesse Lamke,26,11,32,45
993,Melodie Pozer,17,72,69,91
994,Kiah Sandys,25,10,29,34
995,Mill Blonden,79,67,51,65
996,Guido Suggate,74,11,3,60
997,Seka Ankrett,33,55,59,81
998,Dorri Morphet,4,8,5,67
999,Omar Gilardoni,39,23,77,15
1000,Adan Vanyashin,45,76,50,67
